"case","school","grade","female","ageyr","mo","agemo","visperc","cubes","frmbord","flags","geninfo","paracomp","sentcomp","wordclas","wordmean","addition","code","countdot","sccaps","wordrecg","numbrecg","figrrecg","objnumb","numbfig","figword","deduction","numbpuzz","probreas","series","woody"
57,0,7,1,15,7,187,23,30,13,NA,8,2,6,15,1,75,50,84,194,171,85,106,0,3,9,27,14,19,13,22
58,0,7,1,13,4,160,31,19,16,NA,48,10,14,15,15,80,42,102,151,165,95,102,15,7,7,11,11,25,23,23
60,0,7,1,12,8,152,30,24,13,NA,46,6,18,32,15,96,76,96,159,162,88,111,17,11,18,39,18,21,23,22
62,0,7,1,14,4,172,34,21,11,NA,28,8,18,21,10,93,54,114,200,173,98,81,3,17,13,6,4,36,19,25
63,0,7,1,16,2,194,24,19,13,NA,25,5,12,19,12,96,71,105,203,179,105,104,5,12,16,5,13,14,3,24
64,0,7,1,13,3,159,35,21,15,NA,51,8,22,23,17,79,66,116,171,188,103,106,4,10,16,60,15,10,23,21
65,0,7,2,14,0,168,23,26,8,NA,27,3,10,17,9,78,74,91,174,165,81,95,10,11,13,-3,13,17,7,26
66,0,7,1,15,3,183,25,23,14,NA,41,4,12,18,7,81,54,123,142,159,84,95,3,0,9,0,10,13,2,15
67,0,7,2,12,5,149,32,23,12,NA,37,12,22,27,18,121,80,124,221,186,93,111,9,6,16,46,19,35,31,24
68,0,7,2,12,9,153,24,24,12,NA,44,8,20,28,15,113,60,107,172,180,91,110,10,12,10,36,23,32,17,25
69,0,7,2,12,10,154,32,27,16,NA,16,5,10,21,5,61,55,77,192,179,89,94,12,8,14,12,11,25,19,23
70,0,7,2,13,11,167,32,20,15,NA,47,10,18,28,17,127,64,109,210,177,99,105,9,10,15,45,16,34,23,28
71,0,7,2,13,1,157,22,23,11,NA,33,8,20,22,10,76,103,90,181,170,98,107,9,10,7,21,13,27,6,15
72,0,7,2,12,11,155,39,24,13,NA,54,11,18,30,21,131,89,108,227,177,103,106,12,5,4,3,21,29,27,30
73,0,7,1,14,11,179,24,37,16,NA,42,9,15,27,7,83,72,115,223,185,95,110,11,10,14,45,9,26,19,20
74,0,7,2,13,0,156,28,23,15,NA,24,8,11,25,13,89,55,122,153,176,83,99,15,16,8,-1,9,21,12,26
75,0,7,2,13,9,165,17,20,12,NA,39,9,10,24,11,157,65,114,141,190,101,107,14,13,15,12,13,19,11,25
76,0,7,1,12,8,152,28,20,16,NA,55,13,16,23,19,109,78,119,195,175,100,103,10,13,11,21,13,19,6,19
77,0,7,2,14,2,170,4,18,11,NA,22,6,12,16,7,83,68,110,166,177,84,98,7,3,14,-3,13,25,6,22
78,0,7,1,13,3,159,26,37,14,NA,22,4,9,26,8,86,51,115,186,173,104,109,7,13,10,36,17,30,14,21
79,0,7,1,13,1,157,30,18,14,NA,44,5,11,24,11,121,70,147,215,170,85,103,10,5,13,30,12,15,11,25
80,0,7,1,13,7,163,30,24,9,NA,51,10,23,31,19,80,78,92,154,186,99,110,17,12,17,31,10,37,28,16
81,0,7,2,12,9,153,25,21,9,NA,20,9,13,24,5,80,71,114,165,186,97,108,11,4,13,9,16,22,30,25
82,0,7,2,13,9,165,23,21,12,NA,23,5,9,21,7,72,86,115,168,136,88,101,5,11,18,9,15,17,15,22
83,0,7,1,12,6,150,34,28,19,NA,56,12,19,26,16,130,76,114,233,157,84,100,2,7,6,-6,18,28,21,24
85,0,7,1,16,7,199,10,23,13,NA,25,0,6,12,8,131,57,80,203,159,93,103,8,8,7,6,12,24,12,19
86,0,8,2,14,7,175,38,22,18,NA,26,12,13,22,13,128,79,147,207,185,104,112,19,10,13,42,21,37,23,30
87,0,8,1,14,1,169,24,21,13,NA,22,3,6,11,13,108,62,103,192,188,97,107,6,15,16,6,12,19,10,31
88,0,8,1,14,11,179,27,24,10,NA,29,5,8,20,11,135,79,129,217,183,94,106,24,13,19,10,15,20,14,21
89,0,8,1,13,7,163,28,32,16,NA,45,9,19,28,17,118,52,115,191,185,92,109,10,13,20,15,18,27,31,25
90,0,8,1,14,5,173,29,33,6,NA,18,1,9,18,4,123,66,104,208,179,95,98,9,8,16,24,13,17,17,20
91,0,8,2,13,2,158,29,26,20,NA,22,7,14,26,5,133,80,115,179,187,89,103,7,8,7,10,16,26,23,22
93,0,8,2,14,7,175,18,21,12,NA,34,3,6,21,7,114,54,97,165,161,81,91,22,12,6,7,4,11,6,16
94,0,8,2,12,11,155,38,25,10,NA,49,10,23,36,26,106,91,137,197,188,96,112,13,11,19,27,16,43,32,30
95,0,8,2,13,8,164,33,28,12,NA,23,8,16,23,6,94,75,108,215,183,98,107,11,17,12,21,17,33,29,26
96,0,8,2,13,3,159,32,24,19,NA,45,12,20,30,15,127,81,91,185,178,94,89,15,6,12,5,17,25,23,26
97,0,8,2,13,11,167,20,29,14,NA,9,4,5,22,4,82,65,111,176,191,96,105,17,8,15,12,16,22,13,14
98,0,8,2,13,10,166,33,20,13,NA,39,11,18,22,12,96,75,119,240,166,90,103,14,4,13,45,16,21,24,23
99,0,8,1,13,10,166,24,26,16,NA,24,8,11,10,13,153,67,150,196,180,95,98,16,0,15,27,17,23,32,29
100,0,8,2,14,0,168,23,25,14,NA,19,6,15,24,3,124,81,156,220,167,92,108,9,10,14,19,13,26,18,18
101,0,8,1,15,4,184,31,19,15,NA,36,3,8,14,11,82,62,128,206,168,78,96,4,9,19,28,12,20,20,20
102,0,8,1,13,8,164,26,14,15,NA,24,8,13,22,8,83,35,96,142,185,94,104,8,12,17,19,9,17,23,24
103,0,8,1,14,10,178,25,22,8,NA,50,14,19,27,15,95,48,107,136,184,94,99,11,8,8,30,13,8,20,25
104,0,8,1,13,8,164,30,23,10,NA,34,12,17,25,17,82,61,72,196,193,93,114,13,16,19,56,15,30,7,21
105,0,8,1,13,4,160,26,19,15,NA,48,10,23,19,20,127,77,117,152,171,80,97,5,13,8,6,10,33,17,20
106,0,8,2,13,2,158,45,30,12,NA,48,16,27,28,19,118,90,111,260,174,84,104,17,9,15,39,16,41,30,28
108,0,8,2,13,11,167,30,15,14,NA,26,5,11,21,10,128,61,122,166,156,74,79,10,10,13,17,9,14,9,19
109,0,8,1,13,4,160,33,25,12,NA,58,11,18,27,23,113,68,103,207,159,90,95,4,14,10,12,13,24,28,20
110,0,8,1,15,3,183,37,15,15,NA,29,8,13,24,7,98,63,106,225,173,89,104,13,9,16,0,12,34,21,23
111,0,8,2,13,10,166,39,26,12,NA,30,11,15,26,12,104,76,88,237,185,98,116,8,11,20,28,17,26,15,25
112,0,8,1,13,3,159,26,31,17,NA,48,13,18,28,13,135,72,125,148,162,81,105,11,4,13,36,19,34,22,23
113,0,8,1,13,4,160,28,21,11,NA,52,10,18,26,20,88,53,97,174,162,94,101,5,3,16,18,15,24,17,15
114,0,8,1,15,3,183,41,36,25,NA,56,8,23,26,35,69,62,124,217,178,99,111,8,9,14,37,19,31,22,20
115,0,8,2,12,10,154,27,26,17,NA,45,8,22,23,15,146,98,130,222,189,93,109,10,8,19,39,18,28,23,28
116,0,8,2,13,5,161,41,26,14,NA,49,16,23,31,22,171,88,114,187,172,92,109,5,16,9,29,17,30,26,26
117,0,8,2,13,10,166,33,27,14,NA,32,8,11,20,14,96,98,136,252,171,101,114,10,12,15,34,10,14,15,20
118,0,8,2,14,5,173,38,22,14,NA,55,17,22,26,28,131,80,128,271,178,83,113,11,5,15,6,18,34,30,30
119,0,8,2,13,3,159,25,17,17,NA,30,10,14,18,10,103,65,83,121,192,95,109,10,8,17,24,23,38,20,25
120,0,8,1,13,4,160,34,37,13,NA,38,11,19,31,21,75,44,78,175,185,98,111,10,12,10,27,13,24,22,20
121,0,8,2,13,1,157,38,21,13,NA,39,13,17,24,11,66,65,120,196,177,96,105,12,19,20,24,7,43,22,19
122,0,8,1,13,4,160,37,25,15,NA,40,15,14,27,13,105,74,107,196,167,88,99,0,14,20,69,18,30,34,25
123,0,8,2,14,0,168,31,26,18,NA,48,12,21,31,13,108,74,86,216,168,98,99,16,6,10,46,16,18,16,27
124,0,8,1,14,5,173,25,30,15,NA,20,3,8,22,6,82,66,79,228,178,91,111,12,10,16,50,13,17,19,19
125,0,8,2,13,1,157,25,23,12,NA,45,11,19,29,13,111,66,117,195,172,90,96,6,6,12,25,15,23,21,24
126,0,8,1,16,0,192,31,23,15,NA,37,8,19,27,19,122,64,137,180,180,82,96,11,15,17,54,15,21,10,19
127,0,8,1,13,10,166,26,21,18,NA,35,9,11,17,7,128,64,132,232,145,76,112,9,7,14,2,18,22,24,28
129,0,8,1,13,4,160,21,29,15,NA,45,7,9,29,8,85,57,104,186,180,98,108,5,10,13,18,11,17,16,23
130,0,8,1,16,5,197,28,19,13,NA,28,8,13,19,14,94,59,111,196,161,86,89,3,20,16,21,14,21,5,22
131,0,8,2,14,4,172,29,24,13,NA,36,8,17,28,9,134,103,128,247,174,94,101,20,10,15,33,22,26,23,24
132,0,8,1,15,1,181,30,22,17,NA,45,10,12,24,14,106,58,128,119,158,87,91,2,10,12,18,13,28,16,21
133,0,8,2,14,4,172,45,28,19,NA,37,12,26,31,25,86,83,152,234,182,90,113,14,16,20,54,19,44,34,29
134,0,8,2,15,8,188,32,21,16,NA,25,7,15,23,11,84,72,107,172,184,97,99,23,17,10,63,7,26,6,19
135,0,8,1,14,5,173,37,27,13,NA,29,10,20,24,20,115,71,138,230,172,90,110,12,14,11,66,15,30,29,27
136,0,8,2,15,4,184,32,35,15,NA,38,13,16,29,8,92,85,139,204,175,88,94,9,10,19,36,14,30,14,18
137,0,8,2,13,11,167,26,28,17,NA,38,13,22,25,21,118,66,113,177,158,74,93,11,8,12,39,14,25,20,20
138,0,8,2,13,11,167,29,28,15,NA,43,10,20,19,16,113,85,105,179,177,84,92,14,6,6,23,16,32,18,25
139,0,8,2,13,4,160,36,30,17,NA,41,9,24,32,17,76,76,102,208,188,103,107,18,14,10,30,15,34,22,26
140,0,8,1,14,1,169,30,18,10,NA,40,6,11,22,4,104,87,125,227,177,92,108,9,12,10,19,15,13,20,22
142,0,8,1,13,11,167,25,32,16,NA,45,13,25,33,22,105,83,156,252,168,82,104,2,1,19,18,20,50,36,26
143,0,8,2,14,1,169,34,22,15,NA,42,12,17,22,16,167,86,127,259,176,85,107,16,14,18,30,18,23,11,25
144,0,8,2,15,3,183,30,25,15,NA,19,4,8,17,4,113,49,120,173,165,88,92,5,6,7,3,3,20,9,22
145,0,8,2,13,6,162,21,21,13,NA,31,6,15,24,13,108,85,105,134,172,87,105,11,17,16,-12,13,26,5,27
146,0,8,1,14,7,175,44,32,13,NA,44,8,20,31,17,79,79,120,222,168,97,98,9,12,11,17,13,38,22,27
147,0,8,1,13,4,160,37,30,20,NA,58,12,25,28,18,101,96,117,220,148,83,99,1,3,7,20,16,26,24,21
148,0,8,1,13,10,166,29,21,13,NA,45,13,23,20,20,77,66,102,196,173,93,96,7,6,12,44,13,39,16,21
149,0,8,1,13,2,158,34,25,16,NA,51,10,21,23,15,102,56,103,164,191,99,101,7,6,15,43,19,22,16,26
150,0,8,2,14,2,170,33,27,17,NA,45,7,18,33,18,144,93,131,248,191,88,110,17,5,18,42,18,32,32,31
151,0,8,2,14,7,175,31,20,14,NA,56,10,23,26,21,148,114,166,255,195,104,112,26,19,20,27,17,34,32,30
152,0,8,2,14,0,168,19,15,11,NA,41,10,23,32,16,139,81,105,224,171,87,112,10,4,16,13,23,30,20,31
153,0,8,2,14,9,177,30,30,16,NA,12,6,6,20,3,76,57,105,206,187,98,105,11,10,18,25,13,16,9,22
154,0,8,1,15,0,180,43,36,17,NA,40,11,21,33,33,88,79,142,208,162,86,112,9,5,13,34,20,37,18,31
155,0,8,2,12,9,153,44,27,22,NA,66,18,26,37,43,123,87,115,238,186,73,102,16,20,18,51,22,49,39,33
156,0,8,2,15,8,188,12,22,14,NA,31,8,20,16,6,55,64,112,215,170,83,84,13,10,14,12,11,23,9,18
157,0,8,2,13,6,162,23,22,12,NA,44,11,20,26,21,129,94,98,139,180,99,98,14,12,18,24,19,13,18,27
158,0,8,2,13,8,164,25,24,13,NA,44,12,20,31,18,160,108,125,227,188,86,101,18,14,20,9,13,15,11,26
159,0,8,2,15,8,188,28,23,15,NA,26,2,10,21,10,104,61,100,171,176,97,97,10,10,14,3,12,18,15,21
160,0,8,1,14,4,172,35,19,18,NA,55,17,22,33,29,82,70,126,197,178,82,100,6,15,17,42,22,25,30,22
162,0,8,1,15,1,181,40,22,15,NA,29,8,15,26,7,118,76,95,188,167,79,87,1,3,10,0,10,19,5,23
163,0,8,1,13,11,167,41,29,15,NA,60,15,23,26,34,130,89,151,222,184,102,109,12,13,16,35,23,28,34,31
164,0,8,1,15,5,185,32,19,15,NA,52,9,22,28,15,133,68,158,250,155,83,107,4,6,11,33,16,36,9,21
165,0,8,1,14,1,169,29,20,19,NA,46,9,17,28,17,124,81,150,195,146,92,91,9,17,13,24,19,29,26,25
166,0,8,2,15,1,181,31,24,14,NA,34,4,9,26,8,124,80,123,187,175,83,111,5,3,11,49,16,26,5,27
167,0,8,2,15,7,187,38,27,16,NA,21,9,10,27,10,108,69,112,149,189,99,106,11,9,16,39,18,16,9,22
168,0,8,2,15,6,186,29,23,12,NA,38,9,19,29,15,83,79,123,169,181,80,101,5,9,12,-6,10,24,10,26
201,1,7,1,13,0,156,23,19,13,25,46,10,17,22,10,69,65,82,156,173,91,96,8,2,10,21,12,17,11,17
202,1,7,2,11,10,142,33,22,12,37,43,8,17,30,10,65,60,98,195,174,81,106,9,15,17,33,12,22,31,32
203,1,7,1,12,6,150,34,24,14,40,36,11,19,27,19,50,49,86,228,168,84,101,1,7,16,45,10,43,21,18
204,1,7,1,11,11,143,29,23,12,44,38,9,19,25,11,114,59,103,144,130,84,101,10,15,14,25,21,26,19,28
205,1,7,1,12,5,149,16,25,11,28,51,8,25,28,24,112,54,122,160,184,98,99,9,9,15,28,16,35,21,25
206,1,7,2,12,6,150,30,25,12,42,42,10,23,28,18,94,84,113,201,188,86,116,10,10,16,36,14,27,18,30
208,1,7,2,12,8,152,36,33,19,48,69,17,25,42,41,129,96,139,333,192,95,118,16,19,20,53,23,45,40,34
209,1,7,2,11,11,143,28,25,10,28,35,10,18,29,11,96,83,95,174,168,97,113,5,6,16,26,17,13,26,24
210,1,7,2,12,5,149,30,25,15,38,32,11,21,35,8,103,67,114,197,168,84,107,6,4,7,36,13,18,26,27
211,1,7,2,12,5,149,20,25,13,25,39,9,21,27,16,89,49,101,178,181,74,97,7,9,15,7,6,24,16,26
212,1,7,1,12,0,144,27,26,13,37,27,10,16,25,13,88,35,107,137,187,95,115,7,7,15,27,20,36,27,24
213,1,7,1,12,10,154,32,21,16,43,27,1,7,29,11,103,62,136,154,173,100,106,3,18,4,45,18,19,24,26
214,1,7,1,12,9,153,38,31,18,47,29,10,11,30,14,83,57,108,201,181,90,114,9,8,17,40,12,37,23,27
215,1,7,2,12,8,152,17,21,7,23,35,5,10,11,10,99,65,87,147,166,94,90,10,6,14,0,9,16,6,25
216,1,7,1,12,9,153,34,28,20,37,56,14,22,29,26,49,34,84,171,169,96,105,4,14,17,24,14,21,31,25
217,1,7,1,13,1,157,25,31,12,24,37,7,12,18,11,65,53,80,125,186,97,113,9,8,18,42,13,37,20,28
218,1,7,2,12,1,145,33,31,12,46,48,11,23,29,18,66,54,113,186,174,86,111,10,12,9,21,11,38,24,30
219,1,7,1,13,1,157,40,23,15,45,65,10,23,23,35,72,86,104,222,174,88,102,7,11,18,30,18,50,20,20
220,1,7,2,12,7,151,30,22,13,28,49,8,17,26,20,95,66,110,161,188,90,94,5,11,17,18,14,31,16,33
221,1,7,2,12,1,145,36,28,19,44,59,13,24,33,36,82,79,103,205,193,98,117,17,14,20,32,16,29,28,21
222,1,7,1,12,9,153,24,16,16,28,56,5,17,27,11,106,49,80,118,164,84,92,6,9,13,5,13,28,8,21
223,1,7,1,12,8,152,40,26,17,43,56,13,24,39,25,88,69,121,225,191,95,105,11,16,18,54,20,31,23,31
224,1,7,2,12,6,150,30,24,16,38,50,14,26,28,24,112,69,115,185,184,87,87,9,8,19,39,16,38,25,32
225,1,7,1,14,0,156,42,27,17,41,25,7,13,17,4,126,115,200,236,198,94,116,21,19,20,47,24,29,30,29
226,1,7,2,12,3,147,33,27,13,35,29,8,17,29,13,68,63,116,219,159,84,104,6,8,13,9,15,23,6,21
227,1,7,2,12,4,148,32,22,12,24,39,9,20,26,17,74,79,118,191,180,79,93,3,7,14,0,8,34,8,25
228,1,7,1,12,9,153,31,21,13,37,55,13,19,26,19,96,87,121,180,162,79,100,1,2,14,42,10,25,5,29
229,1,7,2,14,7,175,27,23,11,33,24,9,11,24,7,55,68,118,178,173,92,102,3,11,14,6,7,18,5,16
230,1,7,1,13,2,158,31,23,13,40,44,4,16,30,16,81,60,128,189,166,89,99,1,8,18,22,12,7,21,25
231,1,7,1,12,5,149,31,34,13,22,49,9,19,26,17,51,88,92,182,179,91,100,2,7,19,21,17,21,21,26
232,1,7,2,12,0,144,17,30,14,33,46,9,17,23,13,52,53,94,143,165,77,94,2,10,17,39,7,27,6,28
233,1,7,1,12,0,144,30,20,14,35,51,9,20,30,21,108,68,113,180,181,90,111,9,8,19,68,15,43,37,27
234,1,7,1,12,6,150,28,19,15,31,33,9,14,27,20,81,68,116,159,181,91,98,8,6,15,12,9,27,13,29
235,1,7,1,13,2,158,19,22,14,22,18,5,12,21,4,50,53,72,162,178,89,100,3,4,12,2,6,16,9,17
236,1,7,1,12,0,144,28,20,12,32,31,8,15,30,8,100,66,144,205,156,74,101,6,12,16,12,8,27,18,29
237,1,7,2,12,10,154,38,25,13,40,41,9,23,31,15,56,67,130,198,178,96,96,8,9,17,36,8,35,15,18
238,1,7,2,11,11,143,34,28,14,28,48,9,22,28,20,81,76,96,199,171,88,101,2,9,17,34,13,28,20,24
239,1,7,2,13,8,164,18,22,9,23,20,2,4,10,2,30,19,61,112,156,85,90,3,5,6,2,2,18,10,11
240,1,7,2,12,7,151,16,20,12,33,42,6,18,35,13,93,73,111,185,167,81,88,3,5,18,15,20,28,4,30
241,1,7,2,12,4,148,18,30,13,41,52,19,24,36,33,92,83,108,148,175,101,103,9,3,14,30,21,34,33,32
242,1,7,2,12,6,150,32,21,16,41,63,15,20,32,25,95,77,92,178,178,90,105,12,10,14,21,12,31,28,26
243,1,7,1,12,6,150,34,21,15,48,47,9,23,24,24,58,31,91,173,159,76,101,1,3,15,21,11,43,12,25
244,1,7,1,12,1,145,21,22,15,43,29,9,12,24,8,65,67,84,137,186,80,105,0,4,14,18,12,24,13,21
245,1,7,2,12,9,153,28,20,14,40,37,8,18,29,10,61,59,100,214,189,87,100,4,4,13,3,11,26,23,22
246,1,7,2,12,3,147,39,24,14,39,41,14,17,24,11,82,70,104,244,179,92,103,8,4,20,18,17,28,22,27
247,1,7,2,12,4,148,32,26,14,35,47,11,23,27,23,62,39,83,143,173,90,104,7,7,20,54,15,27,22,23
248,1,7,2,12,10,154,28,24,10,38,20,6,10,15,10,61,65,77,159,175,73,103,7,10,10,42,17,18,1,26
249,1,7,1,12,5,149,24,20,16,43,44,11,19,32,18,71,60,94,154,186,100,105,7,7,11,38,15,24,31,26
250,1,7,2,11,11,143,31,19,14,34,28,8,22,26,17,61,49,70,120,186,84,112,3,7,15,48,13,28,18,26
251,1,7,2,12,8,152,29,26,13,38,53,10,22,32,18,85,72,128,202,185,87,111,4,8,9,33,16,25,15,22
252,1,7,1,11,11,143,29,30,13,45,33,7,16,21,12,64,46,74,165,180,88,101,1,4,11,-1,9,10,9,25
253,1,7,1,14,1,169,16,23,10,13,42,7,20,27,13,95,56,128,137,172,93,89,1,10,5,36,6,15,6,21
254,1,7,2,12,4,148,25,25,15,20,32,5,7,24,5,46,77,72,121,176,95,108,8,8,17,30,14,24,4,14
256,1,7,1,13,2,158,25,27,11,39,50,6,16,34,13,86,68,99,214,160,83,97,4,6,10,33,14,28,19,21
257,1,7,2,12,3,147,37,31,15,40,54,14,28,31,20,88,79,114,223,173,88,106,5,6,16,36,12,23,19,27
258,1,7,2,12,11,155,30,26,13,32,36,7,21,27,14,89,55,121,222,164,98,103,4,9,16,47,18,16,24,32
259,1,7,1,11,5,137,29,24,16,36,45,9,21,28,17,100,69,121,206,181,85,106,9,7,8,60,17,28,27,27
260,1,7,2,12,4,148,37,34,11,47,56,18,24,31,27,80,70,112,229,166,91,101,10,13,12,40,15,38,30,29
261,1,7,2,12,0,144,28,20,14,37,30,8,18,25,6,73,74,84,161,189,89,106,10,5,15,35,16,15,8,24
262,1,7,1,13,11,167,22,34,14,35,40,10,17,24,15,80,56,101,185,161,86,100,1,4,16,27,15,19,11,25
263,1,7,2,12,4,148,38,21,14,46,56,18,26,37,31,120,69,109,205,179,84,103,5,7,11,87,15,35,18,29
264,1,7,1,12,9,153,29,21,16,43,23,7,16,22,7,67,64,88,180,158,95,97,6,8,17,9,13,36,27,20
